eco	name	name_ko	pgn	uci	epd
A29	English Opening: King's English Variation, Four Knights Variation, Fianchetto Line	잉글리시 오프닝: 킹즈 잉글리시 베리에이션, 포 나이트 베리에이션, 피앙케토 라인	1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3	c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3	r1bqkb1r/pppp1ppp/2n2n2/4p3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R b KQkq -
A29	English Opening: King's English Variation, Four Knights Variation, Fianchetto Line	잉글리시 오프닝: 킹즈 잉글리시 베리에이션, 포 나이트 베리에이션, 피앙케토 라인	1. c4 e5 2. g3 Nf6 3. Bg2 d5 4. cxd5 Nxd5 5. Nf3 Nc6	c2c4 e7e5 g2g3 g8f6 f1g2 d7d5 c4d5 f6d5 g1f3 b8c6	r1bqkb1r/ppp2ppp/2n5/3np3/8/5NP1/PP1PPPBP/RNBQK2R w KQkq -
A29	English Opening: King's English Variation, Four Knights Variation, Fianchetto Line	잉글리시 오프닝: 킹즈 잉글리시 베리에이션, 포 나이트 베리에이션, 피앙케토 라인	1. c4 e5 2. g3 Nf6 3. Bg2 d5 4. cxd5 Nxd5 5. Nf3 Nc6 6. d3	c2c4 e7e5 g2g3 g8f6 f1g2 d7d5 c4d5 f6d5 g1f3 b8c6 d2d3	r1bqkb1r/ppp2ppp/2n5/3np3/8/3P1NP1/PP2PPBP/RNBQK2R b KQkq -
A29	English Opening: King's English Variation, Four Knights Variation, Fianchetto Line	잉글리시 오프닝: 킹즈 잉글리시 베리에이션, 포 나이트 베리에이션, 피앙케토 라인	1. c4 e5 2. g3 Nf6 3. Bg2 d5 4. cxd5 Nxd5 5. Nf3 Nc6 6. d3 Be7 7. O-O O-O	c2c4 e7e5 g2g3 g8f6 f1g2 d7d5 c4d5 f6d5 g1f3 b8c6 d2d3 f8e7 e1g1 e8g8	r1bq1rk1/ppp1bppp/2n5/3np3/8/3P1NP1/PP2PPBP/RNBQ1RK1 w - -
A29	English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, Delayed .. Nc6	잉글리시 오프닝: 킹즈 잉글리시 베리에이션, 포 나이트 베리에이션, 피앙케토 라인, 딜레이드 .. Nc6	1. c4 e5 2. Nc3 Nf6 3. g3 Bb4 4. Bg2 O-O 5. Nf3 Re8 6. O-O e4 7. Nd4 Nc6	c2c4 e7e5 b1c3 g8f6 g2g3 f8b4 f1g2 e8g8 g1f3 f8e8 e1g1 e5e4 f3d4 b8c6	r1bqr1k1/pppp1ppp/2n2n2/8/1bPNp3/2N3P1/PP1PPPBP/R1BQ1RK1 w - -
A29	English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with .. d6	잉글리시 오프닝: 킹즈 잉글리시 베리에이션, 포 나이트 베리에이션, 피앙케토 라인, .. d6	1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3 Bc5 5. d3 d6 6. Bg2	c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 f8c5 d2d3 d7d6 f1g2	r1bqk2r/ppp2ppp/2np1n2/2b1p3/2P5/2NP1NP1/PP2PPBP/R1BQK2R b KQkq -
A29	English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with .. d6	잉글리시 오프닝: 킹즈 잉글리시 베리에이션, 포 나이트 베리에이션, 피앙케토 라인, .. d6	1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3 Bc5 5. d3 d6 6. Bg2 O-O 7. O-O	c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 f8c5 d2d3 d7d6 f1g2 e8g8 e1g1	r1bq1rk1/ppp2ppp/2np1n2/2b1p3/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b - -
A29	English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with .. d6, Be7	잉글리시 오프닝: 킹즈 잉글리시 베리에이션, 포 나이트 베리에이션, 피앙케토 라인, .. d6, Be7	1. c4 e5 2. Nc3 Nf6 3. g3 Nc6 4. Bg2 d6 5. d3 Be7 6. Nf3 O-O	c2c4 e7e5 b1c3 g8f6 g2g3 b8c6 f1g2 d7d6 d2d3 f8e7 g1f3 e8g8	r1bq1rk1/ppp1bppp/2np1n2/4p3/2P5/2NP1NP1/PP2PPBP/R1BQK2R w KQ -
A29	English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with .. d6, a6	잉글리시 오프닝: 킹즈 잉글리시 베리에이션, 포 나이트 베리에이션, 피앙케토 라인, .. d6, a6	1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3 Bc5 5. d3 d6 6. Bg2 a6	c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 f8c5 d2d3 d7d6 f1g2 a7a6	r1bqk2r/1pp2ppp/p1np1n2/2b1p3/2P5/2NP1NP1/PP2PPBP/R1BQK2R w KQkq -
A29	English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with .. d6, h6	잉글리시 오프닝: 킹즈 잉글리시 베리에이션, 포 나이트 베리에이션, 피앙케토 라인, .. d6, h6	1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3 Bc5 5. d3 d6 6. Bg2 h6	c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 f8c5 d2d3 d7d6 f1g2 h7h6	r1bqk2r/ppp2pp1/2np1n1p/2b1p3/2P5/2NP1NP1/PP2PPBP/R1BQK2R w KQkq -
A29	English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with Bc5	잉글리시 오프닝: 킹즈 잉글리시 베리에이션, 포 나이트 베리에이션, 피앙케토 라인, Bc5	1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3 d5 5. cxd5 Nxd5 6. Bg2 Bc5	c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 d7d5 c4d5 f6d5 f1g2 f8c5	r1bqk2r/ppp2ppp/2n5/2bnp3/8/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -
A29	English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, with Nb6	잉글리시 오프닝: 킹즈 잉글리시 베리에이션, 포 나이트 베리에이션, 피앙케토 라인, Nb6	1. c4 e5 2. Nc3 Nf6 3. Nf3 Nc6 4. g3 d5 5. cxd5 Nxd5 6. Bg2 Nb6	c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6	r1bqkb1r/ppp2ppp/1nn5/4p3/8/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -
A30	English Opening: Symmetrical Variation	잉글리시 오프닝: 시메트리컬 베리에이션	1. c4 c5	c2c4 c7c5	rnbqkbnr/pp1ppppp/8/2p5/2P5/8/PP1PPPPP/RNBQKBNR w KQkq -
A30	English Opening: Symmetrical Variation	잉글리시 오프닝: 시메트리컬 베리에이션	1. c4 c5 2. Nf3	c2c4 c7c5 g1f3	rnbqkbnr/pp1ppppp/8/2p5/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq -
A30	English Opening: Symmetrical Variation, Hedgehog Defense	잉글리시 오프닝: 시메트리컬 베리에이션, 헤지호그 디펜스	1. c4 e6 2. Nf3 Nf6 3. Nc3 c5 4. g3 b6 5. Bg2 Bb7 6. O-O Be7	c2c4 e7e6 g1f3 g8f6 b1c3 c7c5 g2g3 b7b6 f1g2 c8b7 e1g1 f8e7	rn1qk2r/pb1pbppp/1p2pn2/2p5/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq -
A30	English Opening: Symmetrical Variation, Napolitano Gambit	잉글리시 오프닝: 시메트리컬 베리에이션, 나폴리타노 갬빗	1. c4 c5 2. Nf3 Nf6 3. b4	c2c4 c7c5 g1f3 g8f6 b2b4	rnbqkb1r/pp1ppppp/5n2/2p5/1PP5/5N2/P2PPPPP/RNBQKB1R b KQkq -
A30	English Opening: Symmetrical, Hedgehog, Flexible Formation	잉글리시 오프닝: 시메트리컬, 헤지호그, 플렉서블 포메이션	1. c4 e6 2. Nf3 c5 3. Nc3 Nf6 4. g3 b6 5. Bg2 Bb7 6. O-O Be7 7. d4 cxd4 8. Qxd4 d6 9. Rd1 a6 10. b3 Nbd7	c2c4 e7e6 g1f3 c7c5 b1c3 g8f6 g2g3 b7b6 f1g2 c8b7 e1g1 f8e7 d2d4 c5d4 d1d4 d7d6 f1d1 a7a6 b2b3 b8d7	r2qk2r/1b1nbppp/pp1ppn2/8/2PQ4/1PN2NP1/P3PPBP/R1BR2K1 w kq -
A30	English Opening: Wing Gambit	잉글리시 오프닝: 윙 갬빗	1. c4 c5 2. b4	c2c4 c7c5 b2b4	rnbqkbnr/pp1ppppp/8/2p5/1PP5/8/P2PPPPP/RNBQKBNR b KQkq -
A31	English Opening: Symmetrical Variation, Anti-Benoni Variation	잉글리시 오프닝: 시메트리컬 베리에이션, 안티-베노니 베리에이션	1. c4 Nf6 2. d4 c5 3. Nf3	c2c4 g8f6 d2d4 c7c5 g1f3	rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq -
A32	English Opening: Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense	잉글리시 오프닝: 시메트리컬 베리에이션, 안티-베노니 베리에이션, 슈필만 디펜스	1. c4 e6 2. d4 c5 3. Nf3 cxd4 4. Nxd4 Nf6	c2c4 e7e6 d2d4 c7c5 g1f3 c5d4 f3d4 g8f6	rnbqkb1r/pp1p1ppp/4pn2/8/2PN4/8/PP2PPPP/RNBQKB1R w KQkq -
A33	English Opening: Symmetrical Variation, Anti-Benoni Variation, Geller Variation	잉글리시 오프닝: 시메트리컬 베리에이션, 안티-베노니 베리에이션, 겔러 베리에이션	1. c4 e6 2. Nf3 Nf6 3. Nc3 c5 4. d4 Nc6 5. g3 cxd4 6. Nxd4 Qb6	c2c4 e7e6 g1f3 g8f6 b1c3 c7c5 d2d4 b8c6 g2g3 c5d4 f3d4 d8b6	r1b1kb1r/pp1p1ppp/1qn1pn2/8/2PN4/2N3P1/PP2PP1P/R1BQKB1R w KQkq -
A33	English Opening: Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense	잉글리시 오프닝: 시메트리컬 베리에이션, 안티-베노니 베리에이션, 슈필만 디펜스	1. c4 e6 2. Nf3 Nf6 3. Nc3 c5 4. d4 cxd4 5. Nxd4 Nc6	c2c4 e7e6 g1f3 g8f6 b1c3 c7c5 d2d4 c5d4 f3d4 b8c6	r1bqkb1r/pp1p1ppp/2n1pn2/8/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq -
A34	English Opening: Symmetrical Variation	잉글리시 오프닝: 시메트리컬 베리에이션	1. c4 c5 2. Nf3 Nf6 3. Nc3 Nc6 4. g3 d5 5. d4 cxd4	c2c4 c7c5 g1f3 g8f6 b1c3 b8c6 g2g3 d7d5 d2d4 c5d4	r1bqkb1r/pp2pppp/2n2n2/3p4/2Pp4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq -
A34	English Opening: Symmetrical Variation, Fianchetto Variation	잉글리시 오프닝: 시메트리컬 베리에이션, 피앙케토 베리에이션	1. c4 Nf6 2. Nc3 c5 3. g3	c2c4 g8f6 b1c3 c7c5 g2g3	rnbqkb1r/pp1ppppp/5n2/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq -
A34	English Opening: Symmetrical Variation, Normal Variation	잉글리시 오프닝: 시메트리컬 베리에이션, 노멀 베리에이션	1. c4 c5 2. Nc3	c2c4 c7c5 b1c3	rnbqkbnr/pp1ppppp/8/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR b KQkq -
A34	English Opening: Symmetrical Variation, Rubinstein Variation	잉글리시 오프닝: 시메트리컬 베리에이션, 루빈스타인 베리에이션	1. c4 Nf6 2. Nc3 c5 3. g3 d5 4. cxd5 Nxd5 5. Bg2 Nc7	c2c4 g8f6 b1c3 c7c5 g2g3 d7d5 c4d5 f6d5 f1g2 d5c7	rnbqkb1r/ppn1pppp/8/2p5/8/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -
A34	English Opening: Symmetrical Variation, Rubinstein Variation	잉글리시 오프닝: 시메트리컬 베리에이션, 루빈스타인 베리에이션	1. c4 c5 2. Nf3 Nf6 3. Nc3 d5 4. cxd5 Nxd5 5. g3 Nc6 6. Bg2 Nc7	c2c4 c7c5 g1f3 g8f6 b1c3 d7d5 c4d5 f6d5 g2g3 b8c6 f1g2 d5c7	r1bqkb1r/ppn1pppp/2n5/2p5/8/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -
A34	English Opening: Symmetrical Variation, Three Knights Variation	잉글리시 오프닝: 시메트리컬 베리에이션, 쓰리 나이트 베리에이션	1. c4 c5 2. Nc3 Nf6 3. Nf3	c2c4 c7c5 b1c3 g8f6 g1f3	rnbqkb1r/pp1ppppp/5n2/2p5/2P5/2N2N2/PP1PPPPP/R1BQKB1R b KQkq -
A35	English Opening: Symmetrical Variation	잉글리시 오프닝: 시메트리컬 베리에이션	1. c4 c5 2. Nc3 Nf6 3. Nf3 e5	c2c4 c7c5 b1c3 g8f6 g1f3 e7e5	rnbqkb1r/pp1p1ppp/5n2/2p1p3/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq -
A35	English Opening: Symmetrical Variation, Four Knights Variation	잉글리시 오프닝: 시메트리컬 베리에이션, 포 나이트 베리에이션	1. c4 Nf6 2. Nf3 c5 3. Nc3 Nc6	c2c4 g8f6 g1f3 c7c5 b1c3 b8c6	r1bqkb1r/pp1ppppp/2n2n2/2p5/2P5/2N2N2/PP1PPPPP/R1BQKB1R w KQkq -
A35	English Opening: Symmetrical Variation, Two Knights Variation	잉글리시 오프닝: 시메트리컬 베리에이션, 투 나이트 베리에이션	1. c4 c5 2. Nc3 Nc6	c2c4 c7c5 b1c3 b8c6	r1bqkbnr/pp1ppppp/2n5/2p5/2P5/2N5/PP1PPPPP/R1BQKBNR w KQkq -
A36	English Opening: Symmetrical Variation, Botvinnik System	잉글리시 오프닝: 시메트리컬 베리에이션, 보트비닉 시스템	1. c4 c5 2. e4 Nc6 3. Nc3 g6 4. g3 Bg7 5. Bg2	c2c4 c7c5 e2e4 b8c6 b1c3 g7g6 g2g3 f8g7 f1g2	r1bqk1nr/pp1pppbp/2n3p1/2p5/2P1P3/2N3P1/PP1P1PBP/R1BQK1NR b KQkq -
A36	English Opening: Symmetrical Variation, Botvinnik System Reversed, with e3	잉글리시 오프닝: 시메트리컬 베리에이션, 보트비닉 시스템 리버스드, e3	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. e3 e5	c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 e2e3 e7e5	r1bqk1nr/pp1p1pbp/2n3p1/2p1p3/2P5/2N1P1P1/PP1P1PBP/R1BQK1NR w KQkq -
A36	English Opening: Symmetrical Variation, Two Knights, Fianchetto Variation	잉글리시 오프닝: 시메트리컬 베리에이션, 투 나이트, 피앙케토 베리에이션	1. c4 c5 2. Nc3 Nc6 3. g3	c2c4 c7c5 b1c3 b8c6 g2g3	r1bqkbnr/pp1ppppp/2n5/2p5/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq -
A36	English Opening: Symmetrical Variation, Ultra-Symmetrical Variation	잉글리시 오프닝: 시메트리컬 베리에이션, 울트라-시메트리컬 베리에이션	1. c4 c5 2. g3 g6 3. Bg2 Bg7 4. Nc3 Nc6	c2c4 c7c5 g2g3 g7g6 f1g2 f8g7 b1c3 b8c6	r1bqk1nr/pp1pppbp/2n3p1/2p5/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -
A37	English Opening: Symmetrical Variation, Botvinnik System Reversed, with Nf3	잉글리시 오프닝: 시메트리컬 베리에이션, 보트비닉 시스템 리버스드, Nf3	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 e5	c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 e7e5	r1bqk1nr/pp1p1pbp/2n3p1/2p1p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -
A37	English Opening: Symmetrical Variation, Botvinnik System Reversed, with Nf3	잉글리시 오프닝: 시메트리컬 베리에이션, 보트비닉 시스템 리버스드, Nf3	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 e5 6. O-O d6	c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 e7e5 e1g1 d7d6	r1bqk1nr/pp3pbp/2np2p1/2p1p3/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq -
A37	English Opening: Symmetrical Variation, Botvinnik System Reversed, with Nf3	잉글리시 오프닝: 시메트리컬 베리에이션, 보트비닉 시스템 리버스드, Nf3	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 e5 6. O-O Nge7	c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 e7e5 e1g1 g8e7	r1bqk2r/pp1pnpbp/2n3p1/2p1p3/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq -
A37	English Opening: Symmetrical Variation, Botvinnik System Reversed, with Nf3	잉글리시 오프닝: 시메트리컬 베리에이션, 보트비닉 시스템 리버스드, Nf3	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 e5 6. O-O Nge7 7. a3	c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 e7e5 e1g1 g8e7 a2a3	r1bqk2r/pp1pnpbp/2n3p1/2p1p3/2P5/P1N2NP1/1P1PPPBP/R1BQ1RK1 b kq -
A37	English Opening: Symmetrical Variation, Botvinnik System Reversed, with Nf3	잉글리시 오프닝: 시메트리컬 베리에이션, 보트비닉 시스템 리버스드, Nf3	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 e5 6. O-O Nge7 7. d3	c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 e7e5 e1g1 g8e7 d2d3	r1bqk2r/pp1pnpbp/2n3p1/2p1p3/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b kq -
A37	English Opening: Symmetrical Variation, Botvinnik System Reversed, with Nf3	잉글리시 오프닝: 시메트리컬 베리에이션, 보트비닉 시스템 리버스드, Nf3	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 e5 6. O-O Nge7 7. d3 d6	c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 e7e5 e1g1 g8e7 d2d3 d7d6	r1bqk2r/pp2npbp/2np2p1/2p1p3/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 w kq -
A37	English Opening: Symmetrical Variation, Three Knights, Fianchetto Variation	잉글리시 오프닝: 시메트리컬 베리에이션, 쓰리 나이트, 피앙케토 베리에이션	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3	c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3	r1bqk1nr/pp1pppbp/2n3p1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq -
A38	English Opening: Symmetrical Variation, Double Fianchetto	잉글리시 오프닝: 시메트리컬 베리에이션, 더블 피앙케토	1. c4 c5 2. Nc3 Nc6 3. g3 g6 4. Bg2 Bg7 5. Nf3 Nf6 6. O-O O-O 7. b3	c2c4 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 g1f3 g8f6 e1g1 e8g8 b2b3	r1bq1rk1/pp1pppbp/2n2np1/2p5/2P5/1PN2NP1/P2PPPBP/R1BQ1RK1 b - -
A38	English Opening: Symmetrical Variation, Duchamp Variation	잉글리시 오프닝: 시메트리컬 베리에이션, 뒤샹 베리에이션	1. c4 Nf6 2. Nf3 g6 3. g3 Bg7 4. Bg2 O-O 5. O-O c5 6. Nc3 Nc6 7. d3	c2c4 g8f6 g1f3 g7g6 g2g3 f8g7 f1g2 e8g8 e1g1 c7c5 b1c3 b8c6 d2d3	r1bq1rk1/pp1pppbp/2n2np1/2p5/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b - -
A38	English Opening: Symmetrical Variation, Full Symmetry Line	잉글리시 오프닝: 시메트리컬 베리에이션, 풀 시메트리 라인	1. c4 Nf6 2. Nf3 c5 3. Nc3 Nc6 4. g3 g6 5. Bg2 Bg7	c2c4 g8f6 g1f3 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7	r1bqk2r/pp1pppbp/2n2np1/2p5/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -
A39	English Opening: Symmetrical Variation, Mecking Variation	잉글리시 오프닝: 시메트리컬 베리에이션, 메킹 베리에이션	1. c4 Nf6 2. Nf3 c5 3. Nc3 Nc6 4. g3 g6 5. Bg2 Bg7 6. O-O O-O 7. d4	c2c4 g8f6 g1f3 c7c5 b1c3 b8c6 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 d2d4	r1bq1rk1/pp1pppbp/2n2np1/2p5/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -
A40	Australian Defense	오스트레일리아 디펜스	1. d4 Na6	d2d4 b8a6	r1bqkbnr/pppppppp/n7/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -
A40	Benoni Defense: Franco-Sicilian Hybrid	베노니 디펜스: 프랑코-시실리안 하이브리드	1. d4 e6 2. c4 c5 3. d5 exd5 4. cxd5 d6 5. Nc3 g6 6. e4 Bg7 7. Nf3 Ne7	d2d4 e7e6 c2c4 c7c5 d4d5 e6d5 c4d5 d7d6 b1c3 g7g6 e2e4 f8g7 g1f3 g8e7	rnbqk2r/pp2npbp/3p2p1/2pP4/4P3/2N2N2/PP3PPP/R1BQKB1R w KQkq -
A40	Borg Defense: Borg Gambit	보그 디펜스: 보그 갬빗	1. d4 g5	d2d4 g7g5	rnbqkbnr/pppppp1p/8/6p1/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -
A40	Colle System: Pterodactyl Variation	콜레 시스템: 프테로닥틸 베리에이션	1. d4 g6 2. Nf3 Bg7 3. e3 c5 4. Bd3 Qa5+	d2d4 g7g6 g1f3 f8g7 e2e3 c7c5 f1d3 d8a5	rnb1k1nr/pp1pppbp/6p1/q1p5/3P4/3BPN2/PPP2PPP/RNBQK2R w KQkq -
A40	Colle System: Siroccopteryx Variation	콜레 시스템: 시로코프테릭스 베리에이션	1. d4 g6 2. Nf3 Bg7 3. e3 c5 4. Bd3 cxd4 5. Nxd4 Qa5+	d2d4 g7g6 g1f3 f8g7 e2e3 c7c5 f1d3 c5d4 f3d4 d8a5	rnb1k1nr/pp1pppbp/6p1/q7/3N4/3BP3/PPP2PPP/RNBQK2R w KQkq -
A40	English Defense	잉글리시 디펜스	1. d4 b6	d2d4 b7b6	rnbqkbnr/p1pppppp/1p6/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -
A40	English Defense	잉글리시 디펜스	1. d4 e6 2. c4 b6	d2d4 e7e6 c2c4 b7b6	rnbqkbnr/p1pp1ppp/1p2p3/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -
A40	English Defense: Eastbourne Gambit	잉글리시 디펜스: 이스트본 갬빗	1. d4 b6 2. c4 Bb7 3. Nc3 e5	d2d4 b7b6 c2c4 c8b7 b1c3 e7e5	rn1qkbnr/pbpp1ppp/1p6/4p3/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq -
A40	English Defense: Hartlaub Gambit Accepted	잉글리시 디펜스: 하르트라우브 갬빗 수락	1. c4 e6 2. d4 b6 3. Nc3 Bb7 4. e4 f5 5. exf5 Nf6	c2c4 e7e6 d2d4 b7b6 b1c3 c8b7 e2e4 f7f5 e4f5 g8f6	rn1qkb1r/pbpp2pp/1p2pn2/5P2/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq -
A40	English Defense: Hartlaub Gambit Declined	잉글리시 디펜스: 하르트라우브 갬빗 거절	1. c4 e6 2. d4 b6 3. Nc3 Bb7 4. e4 f5 5. d5	c2c4 e7e6 d2d4 b7b6 b1c3 c8b7 e2e4 f7f5 d4d5	rn1qkbnr/pbpp2pp/1p2p3/3P1p2/2P1P3/2N5/PP3PPP/R1BQKBNR b KQkq -
A40	English Defense: Perrin Variation	잉글리시 디펜스: 페랭 베리에이션	1. d4 e6 2. c4 b6 3. e4 Bb7 4. Bd3 Nc6	d2d4 e7e6 c2c4 b7b6 e2e4 c8b7 f1d3 b8c6	r2qkbnr/pbpp1ppp/1pn1p3/8/2PPP3/3B4/PP3PPP/RNBQK1NR w KQkq -
A40	English Defense: Poli Gambit	잉글리시 디펜스: 폴리 갬빗	1. d4 e6 2. c4 b6 3. e4 Bb7 4. f3 f5 5. exf5 Nh6	d2d4 e7e6 c2c4 b7b6 e2e4 c8b7 f2f3 f7f5 e4f5 g8h6	rn1qkb1r/pbpp2pp/1p2p2n/5P2/2PP4/5P2/PP4PP/RNBQKBNR w KQkq -
A40	Englund Gambit	잉글런드 갬빗	1. d4 e5	d2d4 e7e5	rnbqkbnr/pppp1ppp/8/4p3/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -
A40	Englund Gambit Declined	잉글런드 갬빗 거절	1. d4 e5 2. d5	d2d4 e7e5 d4d5	rnbqkbnr/pppp1ppp/8/3Pp3/8/8/PPP1PPPP/RNBQKBNR b KQkq -
A40	Englund Gambit Declined: Diemer Counterattack	잉글런드 갬빗 거절: 디머 카운터어택	1. d4 e5 2. d5 Bc5 3. e4 Qh4	d2d4 e7e5 d4d5 f8c5 e2e4 d8h4	rnb1k1nr/pppp1ppp/8/2bPp3/4P2q/8/PPP2PPP/RNBQKBNR w KQkq -
A40	Englund Gambit Declined: Reversed Alekhine	잉글런드 갬빗 거절: 리버스드 알레킨	1. d4 e5 2. Nf3	d2d4 e7e5 g1f3	rnbqkbnr/pppp1ppp/8/4p3/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq -
A40	Englund Gambit Declined: Reversed Brooklyn	잉글런드 갬빗 거절: 리버스드 브루클린	1. d4 e5 2. Nf3 e4 3. Ng1	d2d4 e7e5 g1f3 e5e4 f3g1	rnbqkbnr/pppp1ppp/8/8/3Pp3/8/PPP1PPPP/RNBQKBNR b KQkq -
A40	Englund Gambit Declined: Reversed French	잉글런드 갬빗 거절: 리버스드 프렌치	1. d4 e5 2. e3	d2d4 e7e5 e2e3	rnbqkbnr/pppp1ppp/8/4p3/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq -
A40	Englund Gambit Declined: Reversed Krebs	잉글런드 갬빗 거절: 리버스드 크레브스	1. d4 e5 2. Nf3 e4	d2d4 e7e5 g1f3 e5e4	rnbqkbnr/pppp1ppp/8/8/3Pp3/5N2/PPP1PPPP/RNBQKB1R w KQkq -
A40	Englund Gambit Declined: Reversed Mokele Mbembe	잉글런드 갬빗 거절: 리버스드 모켈레 음벰베	1. d4 e5 2. Nf3 e4 3. Ne5	d2d4 e7e5 g1f3 e5e4 f3e5	rnbqkbnr/pppp1ppp/8/4N3/3Pp3/8/PPP1PPPP/RNBQKB1R b KQkq -
A40	Englund Gambit: Felbecker Gambit	잉글런드 갬빗: 펠베커 갬빗	1. d4 e5 2. dxe5 Nc6 3. Nf3 Bc5	d2d4 e7e5 d4e5 b8c6 g1f3 f8c5	r1bqk1nr/pppp1ppp/2n5/2b1P3/8/5N2/PPP1PPPP/RNBQKB1R w KQkq -
